word,from,to
here,FLEECE,NEAR
i,FLEECE,PRICE
in,FLEECE,KIT
nice,FLEECE,PRICE
baby,DRESS,FACE
hair,DRESS,NEAR
they,DRESS,FACE
they're,DRESS,NEAR
across,THOUGHT,LOT
along,THOUGHT,LOT
aunty,THOUGHT,START
cos,THOUGHT,LOT
dog,THOUGHT,LOT
gone,THOUGHT,LOT
long,THOUGHT,LOT
lost,THOUGHT,LOT
off,THOUGHT,LOT
on,THOUGHT,LOT
want,THOUGHT,LOT
wanted,THOUGHT,LOT
wants,THOUGHT,LOT
was,THOUGHT,LOT
a,START,SCHWA
coz,START,LOT
fall,START,THOUGHT
falling,START,THOUGHT
followed,START,LOT
got,START,LOT
gotten,START,LOT
hot,START,LOT
not,START,LOT
oh,START,LOT
on,START,LOT
onto,START,LOT
probably,START,LOT
shop,START,LOT
shopping,START,LOT
stopped,START,LOT
top,START,LOT
walk,START,THOUGHT
wander,START,LOT
wandered,START,LOT
wanna,START,LOT
want,START,LOT
wanted,START,LOT
wan~,START,LOT
was,START,LOT
wasn't,START,LOT
watch,START,LOT
after,TRAP,START
asked,TRAP,START
can't,TRAP,START
cant,TRAP,START
cast,TRAP,START
grass,TRAP,START
half,TRAP,START
last,TRAP,START
laughing,TRAP,START
laughs,TRAP,START
past,TRAP,START
plaster,TRAP,START
