Participant,celex_vowel,F1_50,F2_50,SearchName,Transcript,Corpus,Line,LineEnd,MatchId,URL,Before.Match,text,After.Match,Number,Target.word,word_start,word_end,Target.segment,start,end,celexSegment,noise,syllable,word,celex_frequency,corpus_frequency,following_segment,meanPitch,minPitch,maxPitch,vowel,stress,participant_gender,time_0_5,Error,F1_lob2,F2_lob2
Storyteller,FLEECE,493.0908881435127,2397.752149356538,segment≈^([I@EVQU{i#3\$u])$,Hana.trs,kids,4.035,6.298,g_2820;em_12_69407;n_821084-n_821095;p_1271;#=es_1_366584;prefix=001-;[0]=ew_0_355384;[1]=ew_0_355384,https://labbcat.canterbury.ac.nz/kids/transcript?transcript=Hana.trs#es_1_366584,,Each,,1,Each,4.105,4.415,i,4.105,4.255,i,NA,NA,each,NA,NA,J,274.25010100583586 ,242.36887929575028 ,291.3814797249698 ,FLEECE,0,M,4.180000000000001,NA,-0.45142354963004505,1.8629593025969
Storyteller,GOOSE,398.30096649716285,2499.6188262123246,segment≈^([I@EVQU{i#3\$u])$,Hana.trs,kids,4.035,6.298,g_2820;em_12_69407;n_821084-n_821095;p_1271;#=es_1_366590;prefix=002-;[0]=ew_0_355386;[1]=ew_0_355386,https://labbcat.canterbury.ac.nz/kids/transcript?transcript=Hana.trs#es_1_366590,,you,,2,you,4.785,4.885,u,4.855,4.885,u,NA,NA,you,NA,NA,h,--undefined-- ,--undefined-- ,--undefined-- ,GOOSE,0,M,4.87,NA,-1.0776713574275845,2.082000250967586
Storyteller,KIT,531.1684835856727,1521.4153714584888,segment≈^([I@EVQU{i#3\$u])$,Hana.trs,kids,7.558,10.536,g_2820;em_12_69409;n_821097-n_821106;p_1271;#=es_1_366660;prefix=008-;[0]=ew_0_355393;[1]=ew_0_355393,https://labbcat.canterbury.ac.nz/kids/transcript?transcript=Hana.trs#es_1_366660,,Click,,8,Click,7.758,8.298,I,7.918,7.998,I,NA,NA,click,NA,NA,k,262.48845275649325 ,256.3547719783706 ,268.1755201051067 ,KIT,0,M,7.958,NA,-0.19985660814842904,-0.02140214756261175
Storyteller,DRESS,519.5337639315939,2329.060954764344,segment≈^([I@EVQU{i#3\$u])$,Hana.trs,kids,7.558,10.536,g_2820;em_12_69409;n_821097-n_821106;p_1271;#=es_1_366671;prefix=012-;[0]=ew_0_355398;[1]=ew_0_355398,https://labbcat.canterbury.ac.nz/kids/transcript?transcript=Hana.trs#es_1_366671,,next,,12,next,9.088,9.548,E,9.187999999999999,9.288,E,NA,NA,next,NA,NA,k,249.5116162889959 ,242.1659749702966 ,253.26702229843588 ,DRESS,0,M,9.238000000000001,NA,-0.27672361627709735,1.7152546274999534
Storyteller,DRESS,422.7577434181481,2202.1666107147676,segment≈^([I@EVQU{i#3\$u])$,Hana.trs,kids,10.536,11.915,g_2820;em_12_69410;n_821106-n_821110;p_1271;#=es_1_367119;prefix=013-;[0]=ew_0_355400;[1]=ew_0_355400,https://labbcat.canterbury.ac.nz/kids/transcript?transcript=Hana.trs#es_1_367119,,Let's,,13,Let's,10.985999999999999,11.315999999999999,E,11.096,11.176,E,NA,NA,let's,NA,NA,t,413.23498986478694 ,310.6606064010346 ,470.4392457498414 ,DRESS,0,M,11.136,NA,-0.9160929673778205,1.4423974152945818
Storyteller,KIT,644.6766110653485,1257.6742288408614,segment≈^([I@EVQU{i#3\$u])$,Hana.trs,kids,10.536,11.915,g_2820;em_12_69410;n_821106-n_821110;p_1271;#=es_1_367125;prefix=015-;[0]=ew_0_355401;[1]=ew_0_355401,https://labbcat.canterbury.ac.nz/kids/transcript?transcript=Hana.trs#es_1_367125,,begin.,,15,begin.,11.315999999999999,11.856,I,11.526,11.655999999999999,I,NA,NA,begin,NA,NA,n,209.9280914984566 ,180.43106682569663 ,226.84549302215135 ,KIT,0,M,11.591,NA,0.5500566185610261,-0.588517045058671
Storyteller,KIT,580.4146629222715,2437.60146982215,segment≈^([I@EVQU{i#3\$u])$,Hana.trs,kids,14.004,17.29,g_2820;em_12_69412;n_821112-n_821123;p_1271;#=es_1_367014;prefix=017-;[0]=ew_0_355403;[1]=ew_0_355403,https://labbcat.canterbury.ac.nz/kids/transcript?transcript=Hana.trs#es_1_367014,,morning,,17,morning,14.314,14.794,@,14.564,14.654,I,NA,NA,morning,NA,NA,N,--undefined-- ,--undefined-- ,--undefined-- ,SCHWA,0,M,14.609,NA,0.12549772611308793,1.9486461357805547
Storyteller,TRAP,859.0549298377534,1250.6330403091245,segment≈^([I@EVQU{i#3\$u])$,Hana.trs,kids,14.004,17.29,g_2820;em_12_69412;n_821112-n_821123;p_1271;#=es_1_367017;prefix=018-;[0]=ew_0_355404;[1]=ew_0_355404,https://labbcat.canterbury.ac.nz/kids/transcript?transcript=Hana.trs#es_1_367017,,Hana,,18,Hana,15.113999999999999,15.363999999999999,{,15.123999999999999,15.203999999999999,{,NA,NA,hana,NA,NA,n,--undefined-- ,--undefined-- ,--undefined-- ,TRAP,0,M,15.164,NA,1.9663881213069243,-0.6036575076834793
Storyteller,LOT,573.5638095736375,1089.468501718278,segment≈^([I@EVQU{i#3\$u])$,Hana.trs,kids,14.004,17.29,g_2820;em_12_69412;n_821112-n_821123;p_1271;#=es_1_367021;prefix=020-;[0]=ew_0_355405;[1]=ew_0_355405,https://labbcat.canterbury.ac.nz/kids/transcript?transcript=Hana.trs#es_1_367021,,watched,,20,watched,15.363999999999999,15.783999999999999,#,15.504,15.594,Q,NA,NA,watched,NA,NA,J,530.1228375640293 ,495.422373442687 ,582.8535542775543 ,START,0,M,15.549,NA,0.08023624876815233,-0.9502049210897286
Storyteller,STRUT,717.7047126022591,1145.9431026669592,segment≈^([I@EVQU{i#3\$u])$,Hana.trs,kids,14.004,17.29,g_2820;em_12_69412;n_821112-n_821123;p_1271;#=es_1_367027;prefix=022-;[0]=ew_0_355407;[1]=ew_0_355407,https://labbcat.canterbury.ac.nz/kids/transcript?transcript=Hana.trs#es_1_367027,,mum,,22,mum,15.884,16.214,V,15.974,16.084,V,NA,NA,mum,NA,NA,m,279.28405375480213 ,259.6382808643755 ,288.0345361737087 ,STRUT,0,M,16.029,NA,1.0325307856537407,-0.828769231495497
